#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len	
chr1	0	100000	0.517930	0.382070	26735	19924	18283	25058	10000	0	100000
chr1	100000	200000	0.436550	0.337620	23512	16651	17111	20143	22583	0	100000
chr1	200000	300000	0.245260	0.157760	12716	7966	7810	11810	59698	0	100000
chr1	300000	400000	0.492000	0.330810	22147	16802	16279	27053	17719	0	100000
chr1	400000	500000	0.389870	0.323810	18690	15892	16489	20297	28632	0	100000
chr1	500000	600000	0.434550	0.351770	22501	18128	17049	20954	21368	0	100000
chr1	600000	700000	0.580810	0.419190	32078	20771	21148	26003	0	0	100000
chr1	700000	800000	0.558830	0.441170	28768	22043	22074	27115	0	0	100000
chr1	800000	900000	0.433550	0.566450	21350	28287	28358	22005	0	0	100000
chr1	900000	1000000	0.378660	0.621340	17416	30128	32006	20450	0	0	100000
chr1	1000000	1100000	0.396520	0.603480	19219	30088	30260	20433	0	0	100000
chr1	1100000	1200000	0.386280	0.613720	19957	32348	29024	18671	0	0	100000
chr1	1200000	1300000	0.364780	0.635220	19049	32275	31247	17429	0	0	100000
chr1	1300000	1400000	0.438090	0.561910	21803	28131	28060	22006	0	0	100000
chr1	1400000	1500000	0.422670	0.577330	20661	28864	28869	21606	0	0	100000
chr1	1500000	1600000	0.436060	0.563940	22596	27895	28499	21010	0	0	100000
chr1	1600000	1700000	0.454920	0.545080	24073	27770	26738	21419	0	0	100000
chr1	1700000	1800000	0.528100	0.471900	28575	23976	23214	24235	0	0	100000
chr1	1800000	1900000	0.446530	0.553470	22773	27633	27714	21880	0	0	100000
chr1	1900000	2000000	0.436900	0.563100	22000	27554	28756	21690	0	0	100000
chr1	2000000	2100000	0.437960	0.562040	19198	26816	29388	24598	0	0	100000
chr1	2100000	2200000	0.419950	0.580050	18804	28466	29539	23191	0	0	100000
chr1	2200000	2300000	0.403830	0.596170	19598	29248	30369	20785	0	0	100000
chr1	2300000	2400000	0.400510	0.599490	18748	29435	30514	21303	0	0	100000
chr1	2400000	2500000	0.365210	0.634790	17766	31361	32118	18755	0	0	100000
chr1	2500000	2600000	0.431160	0.568840	23775	29169	27715	19341	0	0	100000
chr1	2600000	2700000	0.202170	0.297830	13130	17589	12194	7087	50000	0	100000
chr1	2700000	2800000	0.427850	0.572150	20165	28472	28743	22620	0	0	100000
chr1	2800000	2900000	0.426080	0.573920	20660	28001	29391	21948	0	0	100000
